file,id,label,frames
L_001_keypoints.npy,L_001,미국,125
L_002_keypoints.npy,L_002,미국,123
L_003_keypoints.npy,L_003,미국,104
L_004_keypoints.npy,L_004,미국,164
L_005_keypoints.npy,L_005,미국,147
L_006_keypoints.npy,L_006,미국,146
L_007_keypoints.npy,L_007,미국,136
L_008_keypoints.npy,L_008,미국,107
L_009_keypoints.npy,L_009,미국,109
L_010_keypoints.npy,L_010,미국,110
L_011_keypoints.npy,L_011,미국,103
L_012_keypoints.npy,L_012,미국,110
L_013_keypoints.npy,L_013,미국,93
L_014_keypoints.npy,L_014,미국,97
L_015_keypoints.npy,L_015,미국,78
L_016_keypoints.npy,L_016,미국,111
L_017_keypoints.npy,L_017,미국,111
L_018_keypoints.npy,L_018,미국,88
L_019_keypoints.npy,L_019,미국,127
L_020_keypoints.npy,L_020,미국,101
L_021_keypoints.npy,L_021,미국,112
L_022_keypoints.npy,L_022,미국,116
L_023_keypoints.npy,L_023,"기쁨,기쁘다",122
L_024_keypoints.npy,L_024,"기쁨,기쁘다",85
L_025_keypoints.npy,L_025,"기쁨,기쁘다",109
L_026_keypoints.npy,L_026,"기쁨,기쁘다",92
L_027_keypoints.npy,L_027,"기쁨,기쁘다",93
L_028_keypoints.npy,L_028,"기쁨,기쁘다",96
L_029_keypoints.npy,L_029,"기쁨,기쁘다",109
L_030_keypoints.npy,L_030,"기쁨,기쁘다",118
L_031_keypoints.npy,L_031,"기쁨,기쁘다",100
L_032_keypoints.npy,L_032,"기쁨,기쁘다",87
L_033_keypoints.npy,L_033,"기쁨,기쁘다",96
L_034_keypoints.npy,L_034,"기쁨,기쁘다",90
L_035_keypoints.npy,L_035,"기쁨,기쁘다",125
L_036_keypoints.npy,L_036,"기쁨,기쁘다",159
L_037_keypoints.npy,L_037,"기쁨,기쁘다",162
L_038_keypoints.npy,L_038,"기쁨,기쁘다",127
L_039_keypoints.npy,L_039,"기쁨,기쁘다",144
L_040_keypoints.npy,L_040,"기쁨,기쁘다",158
L_041_keypoints.npy,L_041,"기쁨,기쁘다",137
L_042_keypoints.npy,L_042,"기쁨,기쁘다",144
L_043_keypoints.npy,L_043,"기쁨,기쁘다",69
L_044_keypoints.npy,L_044,"기쁨,기쁘다",73
L_045_keypoints.npy,L_045,"기쁨,기쁘다",65
L_046_keypoints.npy,L_046,"기쁨,기쁘다",66
L_047_keypoints.npy,L_047,"기쁨,기쁘다",70
L_048_keypoints.npy,L_048,"기쁨,기쁘다",83
L_049_keypoints.npy,L_049,"안녕,안부",90
L_050_keypoints.npy,L_050,"안녕,안부",97
L_051_keypoints.npy,L_051,"안녕,안부",72
L_052_keypoints.npy,L_052,"안녕,안부",97
L_053_keypoints.npy,L_053,"안녕,안부",88
L_054_keypoints.npy,L_054,"안녕,안부",83
L_055_keypoints.npy,L_055,"안녕,안부",82
L_056_keypoints.npy,L_056,"안녕,안부",111
L_057_keypoints.npy,L_057,"안녕,안부",86
L_058_keypoints.npy,L_058,"안녕,안부",93
L_059_keypoints.npy,L_059,"안녕,안부",74
L_060_keypoints.npy,L_060,"안녕,안부",76
L_061_keypoints.npy,L_061,"안녕,안부",103
L_062_keypoints.npy,L_062,"안녕,안부",66
L_063_keypoints.npy,L_063,"안녕,안부",121
L_064_keypoints.npy,L_064,"안녕,안부",94
L_065_keypoints.npy,L_065,"안녕,안부",109
L_066_keypoints.npy,L_066,"안녕,안부",87
L_067_keypoints.npy,L_067,"안녕,안부",74
L_068_keypoints.npy,L_068,"안녕,안부",79
L_069_keypoints.npy,L_069,"안녕,안부",92
L_070_keypoints.npy,L_070,"안녕,안부",71
L_071_keypoints.npy,L_071,"안녕,안부",87
L_072_keypoints.npy,L_072,"안녕,안부",85
L_073_keypoints.npy,L_073,"안녕,안부",77
L_074_keypoints.npy,L_074,"안녕,안부",76
L_075_keypoints.npy,L_075,무한,126
L_076_keypoints.npy,L_076,무한,111
L_077_keypoints.npy,L_077,무한,124
L_078_keypoints.npy,L_078,무한,112
L_079_keypoints.npy,L_079,무한,141
L_080_keypoints.npy,L_080,무한,126
L_081_keypoints.npy,L_081,무한,119
L_082_keypoints.npy,L_082,무한,112
L_083_keypoints.npy,L_083,무한,100
L_084_keypoints.npy,L_084,무한,117
L_085_keypoints.npy,L_085,무한,121
L_086_keypoints.npy,L_086,무한,123
L_087_keypoints.npy,L_087,무한,140
L_088_keypoints.npy,L_088,무한,153
L_089_keypoints.npy,L_089,무한,133
L_090_keypoints.npy,L_090,무한,132
L_091_keypoints.npy,L_091,무한,133
L_092_keypoints.npy,L_092,무한,134
L_093_keypoints.npy,L_093,무한,139
L_094_keypoints.npy,L_094,무한,146
L_095_keypoints.npy,L_095,수학,125
L_096_keypoints.npy,L_096,수학,110
L_097_keypoints.npy,L_097,수학,118
L_098_keypoints.npy,L_098,수학,111
L_099_keypoints.npy,L_099,수학,115
L_100_keypoints.npy,L_100,수학,106
L_101_keypoints.npy,L_101,수학,122
L_102_keypoints.npy,L_102,수학,136
L_103_keypoints.npy,L_103,수학,85
L_104_keypoints.npy,L_104,수학,119
L_105_keypoints.npy,L_105,수학,94
L_106_keypoints.npy,L_106,수학,98
L_107_keypoints.npy,L_107,수학,105
L_108_keypoints.npy,L_108,수학,114
L_109_keypoints.npy,L_109,수학,124
L_110_keypoints.npy,L_110,수학,149
L_111_keypoints.npy,L_111,수학,110
L_112_keypoints.npy,L_112,수학,117
L_113_keypoints.npy,L_113,수학,98
L_114_keypoints.npy,L_114,수학,95
L_115_keypoints.npy,L_115,수학,139
L_116_keypoints.npy,L_116,수학,132
L_117_keypoints.npy,L_117,월세,115
L_118_keypoints.npy,L_118,월세,129
L_119_keypoints.npy,L_119,월세,177
L_120_keypoints.npy,L_120,월세,199
L_121_keypoints.npy,L_121,월세,206
L_122_keypoints.npy,L_122,월세,211
L_123_keypoints.npy,L_123,월세,205
L_124_keypoints.npy,L_124,월세,116
L_125_keypoints.npy,L_125,월세,134
L_126_keypoints.npy,L_126,월세,117
L_127_keypoints.npy,L_127,월세,125
L_128_keypoints.npy,L_128,월세,143
L_129_keypoints.npy,L_129,월세,141
L_130_keypoints.npy,L_130,월세,134
L_131_keypoints.npy,L_131,월세,137
L_132_keypoints.npy,L_132,월세,146
L_133_keypoints.npy,L_133,월세,118
L_134_keypoints.npy,L_134,월세,113
L_135_keypoints.npy,L_135,월세,110
L_136_keypoints.npy,L_136,월세,106
L_137_keypoints.npy,L_137,월세,109
L_138_keypoints.npy,L_138,인사,108
L_139_keypoints.npy,L_139,인사,92
L_140_keypoints.npy,L_140,인사,97
L_141_keypoints.npy,L_141,인사,100
L_142_keypoints.npy,L_142,인사,77
L_143_keypoints.npy,L_143,인사,78
L_144_keypoints.npy,L_144,인사,76
L_145_keypoints.npy,L_145,인사,89
L_146_keypoints.npy,L_146,인사,85
L_147_keypoints.npy,L_147,인사,79
L_148_keypoints.npy,L_148,인사,137
L_149_keypoints.npy,L_149,인사,108
L_150_keypoints.npy,L_150,인사,124
L_151_keypoints.npy,L_151,인사,104
L_152_keypoints.npy,L_152,인사,132
L_153_keypoints.npy,L_153,인사,124
L_154_keypoints.npy,L_154,인사,126
L_155_keypoints.npy,L_155,인사,148
L_156_keypoints.npy,L_156,인사,150
L_157_keypoints.npy,L_157,인사,133
L_158_keypoints.npy,L_158,인사,51
L_159_keypoints.npy,L_159,인사,57
L_160_keypoints.npy,L_160,인사,74
L_161_keypoints.npy,L_161,인사,60
L_162_keypoints.npy,L_162,일요일,115
L_163_keypoints.npy,L_163,일요일,134
L_164_keypoints.npy,L_164,일요일,150
L_165_keypoints.npy,L_165,일요일,114
L_166_keypoints.npy,L_166,일요일,148
L_167_keypoints.npy,L_167,일요일,120
L_168_keypoints.npy,L_168,일요일,128
L_169_keypoints.npy,L_169,일요일,99
L_170_keypoints.npy,L_170,일요일,83
L_171_keypoints.npy,L_171,일요일,104
L_172_keypoints.npy,L_172,일요일,116
L_173_keypoints.npy,L_173,일요일,124
L_174_keypoints.npy,L_174,일요일,110
L_175_keypoints.npy,L_175,일요일,106
L_176_keypoints.npy,L_176,일요일,96
L_177_keypoints.npy,L_177,일요일,102
L_178_keypoints.npy,L_178,일요일,127
L_179_keypoints.npy,L_179,일요일,103
L_180_keypoints.npy,L_180,일요일,110
L_181_keypoints.npy,L_181,일요일,102
L_182_keypoints.npy,L_182,일요일,94
